Mean_Temperature,Specific_Humidity
"23,317","14,944"
"23,596","14,186"
"22,423","13,446"
"22,614","12,827"
"22,188","13,796"
"22,3","14,868"
"22,155","15,582"
"22,172","14,141"
"22,334","13,97"
"22,482","14,599"
"23,256","14,993"
"22,999","15,533"
"23,43","15,625"
"22,568","13,96"
"22,185","14,296"
"22,473","14,866"
"23,847","16,155"
"23,274","15,97"
"23,404","15,955"
"22,848","14,942"
"22,84","14,564"
"22,366","14,178"
"22,204","15,28"
"23,372","15,693"
"22,299","13,941"
"25,219","15,4"
"23,369","15,645"
"24,298","14,652"
"24,248","14,132"
"23,694","14,555"
"23,479","15,385"
"22,31","15,591"
"22,22","14,568"
"23,85","15,559"
"25,165","16,34"
"24,674","15,444"
"24,335","14,79"
"23,17","14,588"
"22,677","15,613"
"22,924","15,499"
"24,335","14,689"
"24,966","15,808"
"23,556","14,839"
"24,491","15,23"
"24,35","16,7"
"23,978","16,134"
"23,824","15,266"
"24,104","15,377"
"23,914","15,159"
"22,812","15,46"
"23,541","15,364"
"24,502","15,84"
"24,517","14,68"
"22,423","14,774"
"24,976","15,155"
"24,729","15,826"
"24,367","15,46"
"24,424","14,98"
"24,333","15,243"
"25,314","15,72"
"24,606","15,264"
"23,907","15,241"
"24,984","14,543"
"22,977","15,359"
"24,954","15,464"
"25,38","15,296"
"25,533","15,296"
"24,889","15,579"
"24,801","15,92"
"23,132","15,395"
"24,66","15,56"
"23,676","16,376"
"24,246","16,559"
"23,629","16,5"
"24,964","16,399"
"23,468","15,645"
"23,43","15,11"
"23,512","16,13"
"25,225","16,181"
"24,975","15,901"
"25,177","16,27"
"25,225","15,635"
"25,303","15,673"
"25,221","15,265"
"24,13","15,596"
"23,534","15,587"
"24,83","16,98"
"24,112","16,432"
"26,149","15,838"
"24,5","14,877"
"23,76","16,599"
"24,13","16,214"
"24,106","16,541"
"23,79","16,18"
"23,93","16,641"
"23,748","16,408"
"24,33","16,512"
"23,763","15,975"
"23,656","16,77"
"24,326","15,426"
"22,846","15,229"
"24,376","16,502"
"23,837","16,255"
"24,479","15,662"
"23,111","15,964"
"24,198","15,666"
"23,32","16,149"
"24,557","15,697"
"24,371","17,228"
"24,152","16,523"
"23,406","16,118"
"24,797","16,839"
"24,34","16,823"
"24,197","16,332"
"24,512","16,536"
"23,715","16,781"
"24,1","15,803"
"23,619","14,892"
"24,521","16,93"
"25,7","15,869"
"24,588","16,78"
"23,761","16,611"
"24,614","15,98"
"23,58","15,459"
"23,56","15,277"
"24,154","15,781"
"23,634","16,298"
"24,431","17,247"
"24,343","16,73"
"23,975","16,768"
"24,246","16,219"
"23,901","15,346"
"24,1","15,683"
"24,143","16,44"
"24,123","15,535"
"24,331","16,812"
"25,228","16,452"
"24,216","15,556"
"24,463","15,936"
"24,811","16,902"
"24,85","17,255"
"24,51","16,953"
"24,312","15,918"
"24,775","15,765"
"24,725","16,739"
"24,17","16,806"
"24,35","16,379"
"24,469","15,95"
"24,126","17,58"
"23,596","17,116"
"24,545","16,977"
"24,344","16,32"
"24,38","15,29"
"24,367","16,485"
"24,607","16,918"
"23,726","16,7"
"23,378","16,751"
"24,154","17,589"
"24,36","17,105"
"24,235","17,1"
"23,683","16,425"
"24,432","16,23"
"23,831","16,867"
"24,187","16,681"
"24,318","15,945"
"23,882","16,699"
"24,65","17,385"
"23,784","17,131"
"23,408","16,949"
"23,99","16,581"
"23,535","16,154"
"24,71","16,374"
"23,976","17,81"
"23,915","16,822"
"24,277","17,516"
"24,373","17,731"
"24,201","17,534"
"23,28","17,207"
"23,539","17,278"
"23,811","17,277"
"23,641","16,699"
"24,93","16,739"
"24,917","16,851"
"24,556","17,811"
"23,906","17,456"
"24,65","16,781"
"23,902","16,618"
"24,5","17,215"
"23,966","17,543"
"23,487","17,264"
"23,624","17,51"
"24,278","17,435"
"23,712","17,324"
"24,485","17,913"
"23,392","16,339"
"24,323","16,858"
"23,863","17,197"
"24,96","17,138"
"24,605","17,851"
"23,966","17,749"
"23,752","17,56"
"23,641","17,209"
"23,993","17,554"
"24,753","17,49"
"24,973","17,716"
"24,329","17,4"
"24,268","18,238"
"24,262","18,271"
"24,36","17,637"
"23,516","17,519"
"23,805","17,287"
"23,961","16,711"
"23,823","17,244"
"23,88","17,193"
"23,817","16,616"
"24,425","16,567"
"24,374","16,704"
"23,695","17,628"
"24,6","17,956"
"23,319","17,37"
"24,137","18,126"
"23,927","17,603"
"23,899","17,589"
"24,14","16,995"
"23,765","17,336"
"22,663","16,397"
"24,221","16,665"
"24,165","15,733"
"24,25","16,643"
"24,908","18,626"
"24,122","17,843"
"24,333","17,535"
"23,787","17,16"
"23,363","16,344"
"25,775","17,373"
"24,169","17,876"
"23,672","17,557"
"24,4","17,944"
"23,459","16,158"
"23,743","14,395"
"24,373","17,37"
"22,95","16,621"
"22,719","16,505"
"23,389","16,335"
"23,639","16,707"
"23,629","17,72"
"23,817","17,882"
"23,828","17,4"
"23,929","17,101"
"24,28","16,796"
"23,43","14,566"
"23,94","16,581"
"23,545","17,333"
"22,861","16,486"
"24,103","17,835"
"23,97","17,728"
"23,455","16,778"
"23,666","17,49"
"24,279","16,837"
"23,781","16,154"
"22,561","15,797"
"22,432","16,15"
"23,352","16,948"
"23,39","16,446"
"22,975","16,63"
"23,849","17,784"
"23,713","17,657"
"22,482","16,187"
"23,36","17,73"
"22,878","16,83"
"23,293","17,11"
"22,937","16,754"
"22,717","16,525"
"23,98","15,466"
"23,654","16,195"
"24,182","16,272"
"23,203","15,703"
"22,789","16,511"
"23,18","16,407"
"22,856","16,466"
"22,5","15,626"
"22,783","16,203"
"23,59","15,713"
"22,792","15,447"
"22,194","15,83"
"23,192","15,661"
"22,525","15,574"
"22,443","15,512"
"21,729","15,328"
"23,163","16,73"
"22,649","15,17"
"23,909","15,483"
"21,898","15,695"
"22,145","15,592"
"23,36","14,865"
"22,633","14,723"
"22,807","14,851"
"22,571","16,326"
"22,382","16,37"
"23,64","16,974"
"21,999","15,824"
"22,346","14,59"
"22,305","14,135"
"24,687","15,9"
"22,764","16,523"
"21,65","14,144"
"20,482","11,762"
"23,55","14,377"
"22,436","16,163"
"22,629","16,17"
"21,705","15,99"
"21,129","12,732"
"23,195","14,643"
"23,609","14,497"
"22,332","13,44"
"23,38","15,57"
"20,959","13,249"
"21,599","14,737"
"22,792","16,508"
"22,771","16,499"
"21,699","15,445"
"22,359","15,593"
"21,497","15,24"
"22,389","14,96"
"22,933","14,869"
"21,807","13,784"
"21,717","15,421"
"21,54","14,713"
"21,64","13,899"
"22,11","15,626"
"21,717","15,394"
"21,968","15,498"
"21,712","14,839"
"21,323","14,981"
"22,7","15,679"
"22,163","14,777"
"22,93","14,422"
"21,342","13,294"
"21,138","14,257"
"21,923","14,986"
"21,823","14,698"
"22,158","14,649"
"21,693","13,867"
"22,99","14,615"
"22,627","13,983"
"21,784","14,491"
"22,82","14,679"
"22,479","16,25"
"22,848","15,959"
"22,552","14,939"
"21,477","14,374"
"22,804","14,636"
"21,492","13,99"
"21,608","14,6"
"22,577","15,55"
"21,586","15,113"
"22,831","14,709"
"23,569","15,5"
"22,351","14,581"
"22,661","14,838"
"22,646","14,712"
"22,167","14,179"
"22,427","13,494"
"21,831","13,582"
"21,781","13,216"
"22,174","13,324"
"22,965","15,864"
"22,388","15,795"
"22,872","15,288"
"21,888","14,77"
"22,758","16,91"
"22,37","14,378"
"22,492","15,195"
"23,872","14,845"
"21,997","15,32"
"21,638","13,299"
"22,686","14,785"
"21,868","14,181"
"23,763","14,801"
"22,575","14,21"
"23,466","14,361"
"21,777","14,172"
"22,556","14,524"
"22,615","14,781"
"22,39","13,189"
"22,761","13,946"
"23,855","14,34"
"23,676","15,217"
"23,812","15,403"
"22,609","15,36"
"22,611","14,1"
"22,297","13,919"
"24,608","15,293"
"24,8","16,178"
"23,87","15,529"
"23,61","15,348"
"22,238","14,45"
"22,574","14,174"
"22,809","14,51"
"23,321","14,427"
"22,85","14,751"
"24,3","15,513"
"23,23","14,621"
"23,601","15,195"
"23,386","15,317"
"23,751","15,859"
"23,845","15,674"
"23,381","15,68"
"23,312","15,171"
"23,272","15,129"
"23,355","16,237"
"23,393","15,993"
"24,23","15,652"
"22,408","14,49"
"24,207","16,52"
"23,726","15,214"
"24,267","15,739"
"24,305","16,377"
"23,922","15,918"
"24,5","16,625"
"24,758","15,81"
"22,61","15,763"
"22,843","16,513"
"23,542","16,655"
"23,979","15,83"
"23,957","15,141"
"24,296","15,202"
"22,743","14,211"
"22,682","14,912"
"23,419","15,118"
"23,233","14,861"
"23,114","14,58"
"22,549","15,461"
"22,641","15,572"
"24,385","16,41"
"23,498","15,212"
"23,447","15,36"
"23,128","14,383"
"23,524","14,485"
"24,89","15,426"
"22,17","14,812"
"23,69","15,138"
"23,635","15,211"
"23,342","15,247"
"23,553","16,166"
"23,833","16,447"
"23,841","15,52"
"22,94","14,781"
"23,835","15,196"
"24,66","15,351"
"24,384","15,508"
"24,18","16,349"
"23,965","15,672"
"23,95","15,993"
"23,153","15,402"
"24,72","16,519"
"23,94","16,629"
"25,556","16,689"
"23,793","16,351"
"23,319","16,307"
"24,185","16,697"
"23,955","16,606"
"24,268","16,508"
"24,382","16,735"
"24,509","16,63"
"23,958","15,837"
"24,404","16,49"
"23,915","16,17"
"23,375","16,252"
"23,899","15,884"
"24,162","15,709"
"24,951","15,538"
"25,61","15,638"
"25,565","16,12"
"24,265","17,97"
"24,63","16,451"
"24,138","16,732"
"23,992","16,694"
"24,628","16,91"
"23,893","15,753"
"24,323","16,99"
"24,455","16,9"
"24,628","17,28"
